,test,case,Line
772,test_min,numeric_only None-skipna False-over rows int-empty_data,Line 64678
773,test_min,numeric_only None-skipna False-over rows int-columns_only,Line 64847
774,test_min,numeric_only None-skipna False-over rows str-empty_data,Line 64999
775,test_min,numeric_only None-skipna False-over rows str-columns_only,Line 65168
776,test_min,numeric_only None-skipna False-over columns int-empty_data,Line 65320
777,test_min,numeric_only None-skipna False-over columns int-columns_only,Line 65489
778,test_min,numeric_only None-skipna False-over columns str-empty_data,Line 65643
779,test_min,numeric_only None-skipna False-over columns str-columns_only,Line 65812
780,test_min,numeric_only None-skipna None-over rows int-empty_data,Line 65966
781,test_min,numeric_only None-skipna None-over rows int-columns_only,Line 66135
782,test_min,numeric_only None-skipna None-over rows str-empty_data,Line 66287
783,test_min,numeric_only None-skipna None-over rows str-columns_only,Line 66364
784,test_min,numeric_only None-skipna None-over columns int-empty_data,Line 66608
785,test_min,numeric_only None-skipna None-over columns int-columns_only,Line 66777
786,test_min,numeric_only None-skipna None-over columns str-empty_data,Line 66845
787,test_min,numeric_only None-skipna None-over columns str-columns_only,Line 67015
788,test_mode,numeric_only True-over rows int-empty_data,Line 67254
789,test_mode,numeric_only True-over rows int-columns_only,Line 67416
790,test_mode,numeric_only True-over rows str-empty_data,Line 67812
791,test_mode,numeric_only True-over rows str-columns_only,Line 67968
792,test_mode,numeric_only True-over columns int-empty_data,Line 68542
793,test_mode,numeric_only True-over columns int-columns_only,Line 68612
794,test_mode,numeric_only True-over columns str-empty_data,Line 69283
795,test_mode,numeric_only True-over columns str-columns_only,Line 69427
796,test_mode,numeric_only False-over rows int-empty_data,Line 70162
797,test_mode,numeric_only False-over rows int-columns_only,Line 70324
798,test_mode,numeric_only False-over rows str-empty_data,Line 70801
799,test_mode,numeric_only False-over rows str-columns_only,Line 70963
800,test_mode,numeric_only False-over columns int-empty_data,Line 71366
801,test_mode,numeric_only False-over columns int-columns_only,Line 71510
802,test_mode,numeric_only False-over columns str-empty_data,Line 72169
803,test_mode,numeric_only False-over columns str-columns_only,Line 72325
804,test_mode,numeric_only None-over rows int-empty_data,Line 73070
805,test_mode,numeric_only None-over rows int-columns_only,Line 73140
806,test_mode,numeric_only None-over rows str-empty_data,Line 73714
807,test_mode,numeric_only None-over rows str-columns_only,Line 73784
808,test_mode,numeric_only None-over columns int-empty_data,Line 74284
809,test_mode,numeric_only None-over columns int-columns_only,Line 74428
810,test_mode,numeric_only None-over columns str-empty_data,Line 75095
811,test_mode,numeric_only None-over columns str-columns_only,Line 75165
812,test_nunique,dropna True-over rows int-columns_only,Line 76009
813,test_nunique,dropna True-over rows str-columns_only,Line 76255
